Name,Description,Designator,Footprint,LibRef,Quantity

"H3LIS331DL","Accelerometer","AC","LIS3DHTR","H3LIS331DL","1"
"100nF","C0402C104Z8VACTU","C4, C6, C7, C8, C9, C11","CAPC1005X55X30NL05T10","CMP-2008-03089-1","6"
"10uF","10µF ±20% 6.3V Ceramic Capacitor X5R 1206 (3216 Metric) MPN: 885012108002","C5, C10","WCAP-CSGP_1206_L3.2W1.6H1.6","CMP-03913-65419745-2","2"
"4n7F","EMK063BJ472KP-F","C14","FP-0201-L_0_6_0_03-W_0_3-IPC_A","CMP-14477-003729-2","1"
"100pF","Cap Ceramic 100pF 16V X7R 20% Pad SMD 0201 125°C Automotive T/R MPN: CGA1A2X7R1C101M030BA","C15, C16","FP-CGA1A-0_1-0_03-IPC_B","CMP-08246-001685-1","2"
"330pF","Cap Ceramic 330pF 50V X7R 10% Pad SMD 0402 +125°C Automotive T/R MPN: CGA2B2X7R1H331K050BA","Cff","FP-CGA2B-IPC_A","CMP-08246-002132-1","1"
"1uF","CGA3E3X5R1V105K080AB","Cin","CAPC1608X90N","CGA3E3X5R1V105K080AB","1"
"10pF","","Cl2, Cl3","CAPC1005X56X25NL10T15","CMP-2008-02993-1","2"
"33uF","Multilayer Ceramic Capacitors 33µF ±20% 10V X5R SMD 0805 MPN: C2012X5R1A336M125AC","Cout","FP-C2012-125-0_2-IPC_A","CMP-08246-002720-1","1"
"1A 50V 0402","Schottky Barrier Diode, 2-Pin DSN, Pb-Free, Tape and Reel","D1","ONSC-DSN-2-152AC-01_V","CMP-1055-00232-1","1"
"0.75A 0402","original MPN: F0402G0R05FNTR","F1","FP-F0402G-MFG","CMP-04585-000002-1","1"
"SN65HVD232QD","Integrated Circuit","IC1","SOIC127P600X175-8N","SN65HVD232QD","1"
"battery","Connector","J1","17762801","1-776280-1","1"
"STM32F303K8T6","Integrated Circuit","MCU","QFP80P900X900X160-32N","STM32F303K8T6","1"
"VCNL4035X01-GS08","Integrated Circuit","PS","VCNL4035X01GS08","VCNL4035X01-GS08","1"
"3KOhm","3kO ±5% 0.05W 0201 Thick Film Chip Resistor AEC-Q200 compliant, 3kO ±5% 0.05W 0201 Thick Film Chip Resistor AEC-Q200 compliant MPN:RMCF0201JT3K00, 3kO ±5% 0.05W 0201 Thick Film Chip Resistor AEC-Q200 compliant MPN: RMCF0201JT3K00","R1, R2, R3","FP-RMCF0201-IPC_C","CMP-26527-003145-1","3"
"10k","RT0201 10KO 0.05W 50 ppm/°C 0.10% MPN: RT0201BRE0710KL","R4, R5","FP-RT0201-MFG","CMP-03412-006200-1","2"
"60Ohm","60R4 0.05W 1% 0201 (0603 Metric)  SMD","R6, R7","RESC0201(0603)_M","CMP-1010-00278-1","2"
"2.2kohm","Thick Film Resistor, 2.2 KOhm, 100 mW, 50 V, +/- 1%, -55 to 155 degC, 2-Pin SMD (0603), RoHS, Tape and Reel MPN RC0603FR-072K2L","Rfbb","RESC1608X55X25LL10T15","CMP-2000-06934-1","1"
"10kohm","CRCW040210K0FKED","Rfbt","RESC1005X40X25ML05T10","CMP-2002-03043-1","1"
"82357240030","82357240030","TVS, TVS2, TVS3","WE-VE_0402","CMP-1422-00005-2","3"
"TPSM84209RKHR","DC DC CONVERTER 1.2-6V","Ureg","FP-RKH0009A-MFG","CMP-04918-000417-1","1"
"24MHz","CRYSTAL 24.0000MHZ 9PF SMD","Y1","FP-TSX-3225-MFG","CMP-36405-000018-1","1"
