Name,Description,Designator,Footprint,LibRef,Quantity

"ANT1204F005R0915A","Antenna","ANT","ANT1204F005R0915A","ANT1204F005R0915A","1"
"2.2 uF","CAP CER 2.2UF 100V X7T 0805","C1","FP-GRM21B-0_2-e0_2_0_7-IPC_B","CMP-06035-063309-1","1"
"100 nF","Ceramic Capacitor 100nF ±20% 100V X7R 0805","C2, C3, C4, C5","FP-GCE21B-0_3-MFG","CMP-06035-010744-1","4"
"CC0402JRNPO9BN240","24 pF Â±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C6","CAPC1005X55N","CC0402JRNPO9BN240","1"
"24 pF x2","24 pF Â±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C7","CAPC1005X55N","CC0402JRNPO9BN240","1"
"100 nF","","C8, C10, C12","CAPC1005X55X30NL05T10","CMP-2008-03089-1","3"
"2n2 F","CAP CER 2200PF 10V X7R 0402","C9","FP-CC0402-MFG","CMP-03422-001301-1","1"
"10 nF","None","C11","FP-0402-L_1_0_0_05-W_0_5-IPC_A","CMP-14477-001757-2","1"
"100 nF 280 mOhm","Ceramic Capacitor 100nF ±20% 100V X7R 0805","Cbst","FP-GCE21B-0_3-MFG","CMP-06035-010744-1","1"
"10 uF 5.85 mOhm x2","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X6S, 22%, 20%, 10V","Cin1","FP-GRM21B-0_1-IPC_B","CMP-2007-03502-2","1"
"10 uF 5.85 mOhm","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X6S, 22%, 20%, 10V","Cin2","FP-GRM21B-0_1-IPC_B","CMP-2007-03502-2","1"
"22 uF 1 mOhm x3","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 22uF, X5R, 15%, 10%, 16V","Cout1","FP-GRM319-0_15-IPC_B","CMP-06035-054235-1","1"
"22uF 1 mOhm","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 22uF, X5R, 15%, 10%, 16V","Cout2, Cout3","FP-GRM319-0_15-IPC_B","CMP-06035-054235-1","2"
"TVS","TVS diode [Würth Elektronik] 824521181 TVS diode","D1","WE-TVSP_DO-214AA_Bidirectional","CMP-03913-73414981-2","1"
"Schottky","HSM160JE3/TR13 Schottky 1.0A, 60V, Vf=0.60V Smcj (Do-214Ab) Rohs Compliant: Yes","D2","FP-DO-214BA-MFG","CMP-00252-99180384-1","1"
"Fuse","FUSE BOARD MNT 5A 63VAC/VDC 2SMD","F1","FP-OMF_63-MFG","CMP-26293-000004-1","1"
"TPS563209DDCR","17 V Input","IC1","SOT95P280X110-6N","CMP-031-00007-1","1"
"RN2903A-I_RM105","Integrated Circuit","IC2","RN2903AIRM105","RN2903A-I_RM105","1"
"from battery","Connector","J1","13791657","1379165-7","1"
"DNP","CABLE ADAPTER 6 POS","J2","TAG_TC2030-IDC-NL","CMP-009-000001-1","1"
"vibration sensor","Connector","J3","10059401","CMP-002-00073-1","1"
"2.2 uH 15 mOhm","Power Ind, 2.2UH, 4.1A, Shielded, 1210 Rohs Compliant: Yes","L1","WE-PMFI_322512","CMP-03913-162350128-1","1"
"10 kOhm","Thin Film Chip Resistors Automotive Grade 10kO 0.5% 25ppm/°C 0402","R1, R2, R5, Rfbb","FP-AT0402-IPC_A","CMP-03412-043449-1","4"
"2.2k","RES SMD 2.2K OHM 0.1% 1/16W 0402","R3, R4","FP-RT0402-MFG","CMP-03412-019720-1","2"
"33.2 kOhm","Anti-Sulfurated Chip Resistors Automotive Grade 33.2kO 1% 100ppm/°C 0402","Rfbt","FP-AF0402-IPC_B","CMP-03412-045433-1","1"
"STM32F301K6U6","ARM Cortex-M4 32-bit MCU, 32 KB Flash, 16 KB Internal RAM, 24 I/Os, 32-Pin UFQFPN, -40 to 85 degC, Tray","U1","STM-UFQFPN32_L","CMP-0537-00004-1","1"
"MPU-6050","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel","U2","IS-QFN-24_V","CMP-1753-00002-2","1"
"8 MHz","WE-XTAL Quartz Crystal","Y1","WE-XTAL_12SMX","CMP-03913-116855642-2","1"
